位置,刻度值
100,0.0
99,0.0
98,0.0
97,77.89490827811844
96,33.93806572866842
95,21.679580196278703
94,15.91830545695694
93,12.570892055982243
92,10.38304760628483
91,8.841191651412895
90,7.696018136466591
89,6.81188496819694
88,6.108664614873542
87,5.535979564241992
86,5.06056794749291
85,4.6595838403734655
84,4.316816093478421
83,4.020442824829951
82,3.761640072522282
81,3.533688143901791
80,3.331379645469088
79,3.1506167066714763
78,2.988130421021154
77,2.841281321124924
76,2.707914835824812
75,2.586254829291282
74,2.4748240089827016
73,2.3723836103863496
72,2.2778871230174684
71,2.190444386545448
70,2.109293443367287
69,2.0337782606405588
68,1.9633309418141067
67,1.8974574064353182
66,1.8357257741388915
65,1.7777568752374884
64,1.7232164471474025
63,1.6718086772855254
62,1.623270828965688
61,1.5773687441402306
60,1.5338930604938892
59,1.4926560139237557
58,1.4534887233792246
57,1.4162388752500925
56,1.3807687403504192
55,1.346953469067743
54,1.3146796201951425
53,1.2838438869114273
52,1.254351989760259
51,1.2261177116354898
50,1.1990620539652737
49,1.1731124967004172
48,1.1482023475082372
47,1.1242701678733722
46,1.1012592657073856
45,1.0791172456452853
44,1.0577956095195007
43,1.0372494005986812
42,1.0174368860984846
41,0.9983192732455403
40,0.9798604548291646
39,0.9620267807288047
38,0.9447868523752248
37,0.9281113375038513
36,0.9119728029008615
35,0.8963455631355675
34,0.8812055435244026
33,0.866530155788497
32,0.852298185053922
31,0.8384896870055184
30,0.8250858941455854
29,0.8120691302307151
28,0.7994227320662856
27,0.7871309779308837
26,0.7751790219840531
25,0.7635528340818244
24,0.7522391444869064
23,0.741225393015317
22,0.7304996822096066
21,0.7200507341715379
20,0.709867850724841
19,0.6999408766121311
18,0.6902601654597272
17,0.6808165482705117
16,0.6716013042283973
15,0.6626061336189307
14,0.6538231326891867
13,0.6452447702868256
12,0.6368638661331081
11,0.6286735705980427
10,0.6206673458578764
9,0.6128389483259088
8,0.6051824122573458
7,0.5976920344376455
6,0.5903623598717048
5,0.5831881683983722
4,0.5761644621611928
3,0.5692864538721485
2,0.5625495558104179
1,0.5559493695029863
